,predicted_mean
2025-01-01,3333.89378389489
2025-01-02,3333.6757922567126
2025-01-03,3333.7106812162597
2025-01-04,3333.7050973346554
2025-01-05,3333.705991019482
2025-01-06,3333.705847987694
2025-01-07,3333.7058708795366
2025-01-08,3333.7058672157605
2025-01-09,3333.7058678021376
2025-01-10,3333.7058677082896
2025-01-11,3333.70586772331
2025-01-12,3333.705867720906
2025-01-13,3333.705867721291
2025-01-14,3333.7058677212294
2025-01-15,3333.7058677212394
2025-01-16,3333.705867721238
2025-01-17,3333.7058677212385
2025-01-18,3333.7058677212385
2025-01-19,3333.7058677212385
2025-01-20,3333.7058677212385
2025-01-21,3333.7058677212385
2025-01-22,3333.7058677212385
2025-01-23,3333.7058677212385
2025-01-24,3333.7058677212385
2025-01-25,3333.7058677212385
2025-01-26,3333.7058677212385
2025-01-27,3333.7058677212385
2025-01-28,3333.7058677212385
2025-01-29,3333.7058677212385
2025-01-30,3333.7058677212385
